visita_id,preso_id,preso_documento,preso_nombres,preso_apellidos,preso_fecha_nacimiento,preso_delito,preso_estado,preso_celda,preso_patio,preso_fecha_ingreso,visitante_nombre,visitante_documento,visita_fecha,visita_hora,visita_estado,visita_motivo_denegacion,guardia_id,guardia_documento,guardia_nombres,guardia_apellidos,guardia_rango,guardia_turno,guardia_patio,guardia_zona,guardia_estado,hubo_incidente,incidente_id,incidente_tipo,incidente_descripcion,incidente_fecha,incidente_hora,incidente_estado
11,15,513140753,Patricia,Munar Diaz,1983-09-26,Secuestro,LIBERADO,A003,Patio 1,2021-06-30,Juan Ortiz,993027458,2024-06-03,09:30:00,FINALIZADA,,12,644830077,Nelson,Flores Vega,TENIENTE,MANANA,Patio 1,Zona Este,ACTIVO,NO,,,,,,
12,74,327268503,Carolina,Castillo Cruz,1994-02-22,Falsedad documental,ACTIVO,E033,Patio 4,2021-05-31,Olga Gutierrez,596832859,2024-10-22,21:00:00,RECHAZADA,Cupo maximo alcanzado,3,133447745,Juan,Parra Chavez,TENIENTE,NOCHE,Patio 1,Zona Oeste,ACTIVO,NO,,,,,,
13,149,1021706559,Rafael,Torres Buitrago,1971-03-30,Fabricacion de explosivos,ACTIVO,E010,Patio 1,2020-09-26,Olga Flores,166436383,2023-02-12,15:15:00,PERMITIDA,,18,448303473,Ruben,Zapata Munar,DRAGONEANTE,MANANA,Patio 2,Zona Sur,ACTIVO,NO,,,,,,
14,116,1089848389,Paola,Cardenas Acosta,1999-06-11,Hurto calificado,TRASLADADO,B031,Patio 4,2021-11-27,Jairo Castro,142028540,2023-12-18,19:00:00,CANCELADA,,4,576271425,Pedro,Perez Castillo,SUBOFICIAL,MANANA,Patio 1,Zona Sur,ACTIVO,NO,,,,,,
15,64,960514523,Carolina,Vega Salcedo,1985-01-26,Estafa,ACTIVO,E034,Patio 4,2022-10-30,Felipe Gutierrez,538912794,2024-03-25,16:15:00,PERMITIDA,,15,990626742,Edison,Aguilar Rodriguez,CABO,TARDE,Patio 3,Zona Este,ACTIVO,NO,,,,,,
16,87,654724287,Ivan,Perez Herrera,1992-04-19,Lavado de activos,SINDICADO,E035,Patio 2,2022-09-02,Yaneth Mora,515070154,2023-02-23,20:30:00,APROBADA,,20,544726404,Camilo,Jimenez Molina,SUBOFICIAL,MANANA,Patio 3,Zona Oeste,ACTIVO,NO,,,,,,
17,73,190137896,Jairo,Ruiz Torres,1998-11-19,Violencia intrafamiliar,ACTIVO,B027,Patio 4,2021-11-01,Edison Vega,520861681,2024-11-03,17:15:00,PERMITIDA,,9,191659287,Andres,Ruiz Sanchez,OFICIAL,NOCHE,Patio 3,Zona Sur,ACTIVO,SI,4,Motin,El guardia reportó comportamiento agresivo del interno,2024-11-03,13:30:00,CANCELADO
18,34,173574218,Paola,Martinez Mora,1998-08-29,Extorsion,SINDICADO,D026,Patio 2,2020-03-22,Patricia Pineda,950040559,2024-12-26,09:30:00,CANCELADA,,20,544726404,Camilo,Jimenez Molina,SUBOFICIAL,MANANA,Patio 3,Zona Oeste,ACTIVO,NO,,,,,,
19,85,361846370,Cesar,Diaz Zapata,1987-05-18,Concierto para delinquir,ACTIVO,A008,Patio 4,2021-10-27,Olga Ortiz,119574893,2024-11-17,19:00:00,DENEGADA,Preso en aislamiento,5,779760958,Natalia,Montoya Soto,SARGENTO,TARDE,Patio 5,Zona Central,ACTIVO,NO,,,,,,
20,93,487493096,Oscar,Mendoza Garcia,1991-10-05,Abuso sexual,ACTIVO,A012,Patio 1,2021-08-21,Miguel Cardenas,927720428,2023-07-04,11:30:00,FINALIZADA,,10,729712082,Yaneth,Montoya Cruz,OFICIAL,MANANA,Patio 4,Zona Este,ACTIVO,SI,5,Posesion de objetos prohibidos,El guardia reportó comportamiento agresivo del interno,2023-07-04,09:30:00,RESUELTO
21,139,196961971,Gloria,Garcia Medina,1984-01-26,Homicidio,SINDICADO,E013,Patio 3,2022-02-19,Paola Gutierrez,265627642,2023-02-08,18:30:00,RECHAZADA,Visitante en lista de restriccion,17,669601448,Nelson,Gutierrez Ramos,TENIENTE,TARDE,Patio 2,Zona Este,ACTIVO,NO,,,,,,
22,42,990505735,Camilo,Gonzalez Garcia,1974-12-17,Fabricacion de explosivos,ACTIVO,B028,Patio 2,2022-06-23,Adriana Gonzalez,541156077,2024-12-10,20:15:00,PENDIENTE,,6,642831335,Paola,Ruiz Sanchez,OFICIAL,MANANA,Patio 5,Zona Sur,ACTIVO,NO,,,,,,
23,94,848846217,Jose,Lozano Molina,1982-01-07,Homicidio,TRASLADADO,D027,Patio 3,2022-08-19,Adriana Romero,673390109,2024-03-30,17:30:00,PENDIENTE,,8,435569630,Hernan,Medina Ortiz,CABO,NOCHE,Patio 4,Zona Norte,ACTIVO,NO,,,,,,
24,62,804436922,Edison,Garcia Molina,1998-08-06,Fabricacion de explosivos,TRASLADADO,E040,Patio 4,2021-03-24,Xiomara Alvarez,595725097,2024-04-25,21:15:00,PERMITIDA,,10,729712082,Yaneth,Montoya Cruz,OFICIAL,MANANA,Patio 4,Zona Este,ACTIVO,NO,,,,,,
25,73,190137896,Jairo,Ruiz Torres,1998-11-19,Violencia intrafamiliar,ACTIVO,B027,Patio 4,2021-11-01,Paola Torres,1037378677,2024-05-29,16:45:00,APROBADA,,13,494665673,David,Molina Aguilar,SUBOFICIAL,MANANA,Patio 4,Zona Central,SUSPENDIDO,NO,,,,,,
26,65,558209399,Yaneth,Alvarez Vargas,1993-05-11,Fraude procesal,SINDICADO,B027,Patio 2,2021-07-21,Miguel Soto,1008269915,2024-10-18,15:30:00,CANCELADA,,2,585337126,Olga,Romero Bedoya,DRAGONEANTE,NOCHE,Patio 5,Zona Este,ACTIVO,NO,,,,,,
27,133,1077767507,Paola,Acosta Ospina,1997-05-11,Falsedad documental,TRASLADADO,E039,Patio 2,2021-12-22,Olga Flores,992329618,2023-10-19,09:15:00,PERMITIDA,,4,576271425,Pedro,Perez Castillo,SUBOFICIAL,MANANA,Patio 1,Zona Sur,ACTIVO,NO,,,,,,
28,112,916033628,Juan,Jimenez Aguilar,1984-08-20,Hurto calificado,TRASLADADO,C033,Patio 4,2020-09-05,Liliana Lopez,525689202,2023-08-16,21:45:00,PERMITIDA,,3,133447745,Juan,Parra Chavez,TENIENTE,NOCHE,Patio 1,Zona Oeste,ACTIVO,NO,,,,,,
29,129,595155950,Hector,Medina Diaz,1971-06-15,Concierto para delinquir,ACTIVO,C040,Patio 3,2020-11-19,Jose Gonzalez,408034406,2023-08-30,14:00:00,PERMITIDA,,12,644830077,Nelson,Flores Vega,TENIENTE,MANANA,Patio 1,Zona Este,ACTIVO,SI,6,Dano a instalaciones,Se presentó una riña entre el preso y otro interno en el patio,2023-08-30,21:30:00,RESUELTO
30,121,139749508,Jose,Cardenas Cano,1974-11-22,Fraude procesal,ACTIVO,C033,Patio 1,2022-12-13,Andres Rodriguez,374796224,2024-12-23,15:45:00,RECHAZADA,Documentos incompletos,5,779760958,Natalia,Montoya Soto,SARGENTO,TARDE,Patio 5,Zona Central,ACTIVO,NO,,,,,,
31,56,813962536,Patricia,Mora Acosta,2000-06-30,Hurto calificado,CONDENADO,B038,Patio 4,2020-01-01,Fabian Mendoza,230833665,2024-07-15,19:45:00,APROBADA,,5,779760958,Natalia,Montoya Soto,SARGENTO,TARDE,Patio 5,Zona Central,ACTIVO,NO,,,,,,
32,13,902099969,Natalia,Ruiz Cano,1977-11-30,Porte ilegal de armas,ACTIVO,A036,Patio 5,2022-10-07,Xiomara Herrera,871531100,2024-03-05,18:45:00,APROBADA,,8,435569630,Hernan,Medina Ortiz,CABO,NOCHE,Patio 4,Zona Norte,ACTIVO,SI,7,Amenazas verbales,Se encontraron documentos falsos en poder del visitante,2024-03-05,16:00:00,RESUELTO
33,37,592080329,Viviana,Zapata Sanchez,1963-04-15,Abuso sexual,ACTIVO,B028,Patio 2,2021-12-15,Oscar Vega,817490291,2024-03-15,08:30:00,APROBADA,,10,729712082,Yaneth,Montoya Cruz,OFICIAL,MANANA,Patio 4,Zona Este,ACTIVO,NO,,,,,,
34,22,1097413271,Esperanza,Molina Bravo,1990-12-11,Extorsion,CONDENADO,C023,Patio 3,2022-06-16,Jorge Lozano,515410649,2024-01-05,09:00:00,FINALIZADA,,17,669601448,Nelson,Gutierrez Ramos,TENIENTE,TARDE,Patio 2,Zona Este,ACTIVO,NO,,,,,,
35,96,530256336,Martha,Martinez Zapata,1988-03-26,Concierto para delinquir,ACTIVO,A039,Patio 5,2021-09-14,Diana Buitrago,463512350,2023-01-17,13:00:00,PERMITIDA,,9,191659287,Andres,Ruiz Sanchez,OFICIAL,NOCHE,Patio 3,Zona Sur,ACTIVO,SI,8,Motin,El interno incitó a otros presos a un acto de indisciplina,2023-01-17,09:30:00,PENDIENTE
36,45,1065212976,Diana,Jimenez Mora,1971-03-12,Concierto para delinquir,ACTIVO,E040,Patio 5,2022-04-12,Ivan Gonzalez,438868427,2024-12-13,15:15:00,APROBADA,,15,990626742,Edison,Aguilar Rodriguez,CABO,TARDE,Patio 3,Zona Este,ACTIVO,SI,9,Amenazas verbales,Se encontró material prohibido en el registro de la visita,2024-12-13,12:15:00,PENDIENTE
37,80,735760237,Edison,Lozano Herrera,1964-07-27,Terrorismo,CONDENADO,E016,Patio 5,2020-09-04,Juan Pineda,456401418,2024-02-12,21:45:00,PERMITIDA,,17,669601448,Nelson,Gutierrez Ramos,TENIENTE,TARDE,Patio 2,Zona Este,ACTIVO,SI,10,Motin,El visitante intentó pasar un objeto no permitido al preso,2024-02-12,12:30:00,RESUELTO
38,70,106330865,Diana,Mendoza Molina,1977-06-29,Fraude procesal,TRASLADADO,C028,Patio 5,2021-03-27,Adriana Gutierrez,464037804,2024-01-12,14:45:00,PENDIENTE,,4,576271425,Pedro,Perez Castillo,SUBOFICIAL,MANANA,Patio 1,Zona Sur,ACTIVO,NO,,,,,,
39,48,945436943,Edison,Sanchez Gutierrez,1999-02-14,Trafico de estupefacientes,TRASLADADO,B017,Patio 2,2022-07-31,Camilo Perez,880697625,2024-12-09,15:30:00,CANCELADA,,16,294782734,Rafael,Zapata Vega,TENIENTE,MANANA,Patio 2,Zona Norte,ACTIVO,NO,,,,,,
40,109,454123990,Liliana,Rios Ospina,1972-12-05,Concierto para delinquir,TRASLADADO,E035,Patio 5,2020-03-16,Felipe Castillo,210163669,2024-03-16,17:15:00,CANCELADA,,3,133447745,Juan,Parra Chavez,TENIENTE,NOCHE,Patio 1,Zona Oeste,ACTIVO,NO,,,,,,
41,21,237859287,Hernan,Parra Montoya,1967-05-29,Secuestro,SINDICADO,D036,Patio 4,2021-03-09,Monica Vargas,840629322,2024-11-07,12:30:00,FINALIZADA,,11,905611583,Monica,Bravo Lopez,SARGENTO,NOCHE,Patio 3,Zona Este,ACTIVO,NO,,,,,,
42,114,200082623,Edwin,Ramirez Diaz,1965-04-08,Concierto para delinquir,CONDENADO,D008,Patio 3,2022-11-08,Camilo Lozano,949842840,2024-04-02,08:30:00,RECHAZADA,Preso en aislamiento,12,644830077,Nelson,Flores Vega,TENIENTE,MANANA,Patio 1,Zona Este,ACTIVO,NO,,,,,,
43,15,513140753,Patricia,Munar Diaz,1983-09-26,Secuestro,LIBERADO,A003,Patio 1,2021-06-30,Dario Mora,271784435,2024-11-18,18:45:00,PERMITIDA,,3,133447745,Juan,Parra Chavez,TENIENTE,NOCHE,Patio 1,Zona Oeste,ACTIVO,NO,,,,,,
44,8,508157429,Camilo,Diaz Lozano,1997-06-01,Porte ilegal de armas,ACTIVO,C011,Patio 2,2021-06-30,Xiomara Gonzalez,749715626,2024-09-14,18:45:00,APROBADA,,5,779760958,Natalia,Montoya Soto,SARGENTO,TARDE,Patio 5,Zona Central,ACTIVO,SI,11,Agresion a guardia,El guardia reportó el ingreso de dinero no declarado,2024-09-14,18:30:00,RESUELTO
45,40,1055321749,Miguel,Acosta Montoya,1966-12-21,Secuestro,ACTIVO,B014,Patio 3,2021-02-20,Beatriz Ortiz,527385805,2024-01-15,13:45:00,APROBADA,,15,990626742,Edison,Aguilar Rodriguez,CABO,TARDE,Patio 3,Zona Este,ACTIVO,NO,,,,,,
46,81,954942461,Xiomara,Gonzalez Reyes,1983-11-24,Lavado de activos,CONDENADO,A018,Patio 5,2021-11-29,Oscar Ospina,655924752,2023-09-13,09:00:00,PENDIENTE,,9,191659287,Andres,Ruiz Sanchez,OFICIAL,NOCHE,Patio 3,Zona Sur,ACTIVO,NO,,,,,,
47,100,357553274,Oscar,Montoya Martinez,1967-01-08,Trafico de estupefacientes,SINDICADO,E017,Patio 5,2022-08-20,Adriana Jimenez,756998124,2023-05-01,12:30:00,PENDIENTE,,18,448303473,Ruben,Zapata Munar,DRAGONEANTE,MANANA,Patio 2,Zona Sur,ACTIVO,NO,,,,,,
48,74,327268503,Carolina,Castillo Cruz,1994-02-22,Falsedad documental,ACTIVO,E033,Patio 4,2021-05-31,Ferney Alvarez,194264587,2023-07-24,09:15:00,APROBADA,,16,294782734,Rafael,Zapata Vega,TENIENTE,MANANA,Patio 2,Zona Norte,ACTIVO,NO,,,,,,
49,82,113585139,Liliana,Ospina Sanchez,1979-06-12,Porte ilegal de armas,CONDENADO,C038,Patio 2,2022-06-10,Ferney Soto,1095707053,2024-12-27,09:30:00,PERMITIDA,,12,644830077,Nelson,Flores Vega,TENIENTE,MANANA,Patio 1,Zona Este,ACTIVO,NO,,,,,,
50,45,1065212976,Diana,Jimenez Mora,1971-03-12,Concierto para delinquir,ACTIVO,E040,Patio 5,2022-04-12,Fabian Ospina,128222260,2024-06-04,11:00:00,APROBADA,,12,644830077,Nelson,Flores Vega,TENIENTE,MANANA,Patio 1,Zona Este,ACTIVO,NO,,,,,,
51,93,487493096,Oscar,Mendoza Garcia,1991-10-05,Abuso sexual,ACTIVO,A012,Patio 1,2021-08-21,Jose Bedoya,1049452394,2024-08-09,13:45:00,CANCELADA,,18,448303473,Ruben,Zapata Munar,DRAGONEANTE,MANANA,Patio 2,Zona Sur,ACTIVO,NO,,,,,,
52,23,1065953266,Beatriz,Alvarez Ramirez,1971-02-13,Extorsion,ACTIVO,A006,Patio 5,2021-04-16,Liliana Fuentes,539625898,2023-11-13,14:45:00,CANCELADA,,3,133447745,Juan,Parra Chavez,TENIENTE,NOCHE,Patio 1,Zona Oeste,ACTIVO,NO,,,,,,
53,148,729624046,Nelson,Romero Cruz,1994-09-26,Hurto calificado,CONDENADO,D033,Patio 1,2021-07-21,Beatriz Reyes,237798236,2023-05-09,13:00:00,FINALIZADA,,3,133447745,Juan,Parra Chavez,TENIENTE,NOCHE,Patio 1,Zona Oeste,ACTIVO,NO,,,,,,
54,142,225279834,Jose,Gonzalez Gonzalez,1973-08-26,Violencia intrafamiliar,ACTIVO,B021,Patio 5,2020-10-04,Juan Ramirez,656307931,2023-07-06,20:15:00,FINALIZADA,,19,153432064,Wilson,Perez Aguilar,TENIENTE,NOCHE,Patio 4,Zona Oeste,ACTIVO,NO,,,,,,
55,40,1055321749,Miguel,Acosta Montoya,1966-12-21,Secuestro,ACTIVO,B014,Patio 3,2021-02-20,Edwin Reyes,657162259,2023-06-18,10:30:00,PENDIENTE,,10,729712082,Yaneth,Montoya Cruz,OFICIAL,MANANA,Patio 4,Zona Este,ACTIVO,NO,,,,,,
56,73,190137896,Jairo,Ruiz Torres,1998-11-19,Violencia intrafamiliar,ACTIVO,B027,Patio 4,2021-11-01,Viviana Buitrago,200317984,2023-09-14,11:30:00,APROBADA,,3,133447745,Juan,Parra Chavez,TENIENTE,NOCHE,Patio 1,Zona Oeste,ACTIVO,NO,,,,,,
57,129,595155950,Hector,Medina Diaz,1971-06-15,Concierto para delinquir,ACTIVO,C040,Patio 3,2020-11-19,Jhon Munar,462516271,2024-08-29,17:15:00,APROBADA,,6,642831335,Paola,Ruiz Sanchez,OFICIAL,MANANA,Patio 5,Zona Sur,ACTIVO,NO,,,,,,
58,145,333291547,Adriana,Alvarez Herrera,1998-05-16,Porte ilegal de armas,ACTIVO,E016,Patio 3,2022-01-04,Rodrigo Pineda,326353775,2023-01-30,09:00:00,DENEGADA,Cupo maximo alcanzado,2,585337126,Olga,Romero Bedoya,DRAGONEANTE,NOCHE,Patio 5,Zona Este,ACTIVO,NO,,,,,,
59,147,154308262,Maria,Herrera Torres,1995-04-20,Estafa,ACTIVO,E036,Patio 5,2021-02-28,Esperanza Guerrero,789242701,2024-09-24,18:00:00,FINALIZADA,,14,978779150,Viviana,Bedoya Mora,OFICIAL,NOCHE,Patio 1,Zona Central,INACTIVO,NO,,,,,,
60,78,280162221,Paola,Munar Acosta,1992-03-22,Homicidio,CONDENADO,B002,Patio 3,2020-08-09,Edison Lopez,269737590,2023-09-08,20:45:00,PERMITIDA,,16,294782734,Rafael,Zapata Vega,TENIENTE,MANANA,Patio 2,Zona Norte,ACTIVO,NO,,,,,,
61,113,130998324,Hector,Munar Herrera,1991-11-03,Hurto calificado,ACTIVO,A004,Patio 5,2022-04-15,Sandra Soto,442863363,2024-05-10,15:15:00,PERMITIDA,,14,978779150,Viviana,Bedoya Mora,OFICIAL,NOCHE,Patio 1,Zona Central,INACTIVO,NO,,,,,,
62,89,428786222,Hernan,Cano Ortiz,1981-03-24,Abuso sexual,SINDICADO,C029,Patio 5,2021-11-08,Yaneth Sanchez,442648079,2023-05-14,20:30:00,CANCELADA,,13,494665673,David,Molina Aguilar,SUBOFICIAL,MANANA,Patio 4,Zona Central,SUSPENDIDO,NO,,,,,,
63,62,804436922,Edison,Garcia Molina,1998-08-06,Fabricacion de explosivos,TRASLADADO,E040,Patio 4,2021-03-24,Henry Castillo,720286733,2023-05-06,12:45:00,APROBADA,,15,990626742,Edison,Aguilar Rodriguez,CABO,TARDE,Patio 3,Zona Este,ACTIVO,SI,12,Rina entre internos,El preso se negó a regresar a su celda al finalizar la visita,2023-05-06,14:45:00,EN_PROCESO
64,81,954942461,Xiomara,Gonzalez Reyes,1983-11-24,Lavado de activos,CONDENADO,A018,Patio 5,2021-11-29,Martha Rodriguez,196689473,2023-06-13,15:45:00,FINALIZADA,,7,1053580472,Edwin,Ramos Cruz,TENIENTE,TARDE,Patio 4,Zona Norte,ACTIVO,NO,,,,,,
65,101,412737284,Jorge,Romero Guerrero,1991-09-17,Secuestro,CONDENADO,C037,Patio 1,2021-04-23,Juan Lopez,402104065,2024-04-13,11:15:00,RECHAZADA,Horario no disponible,17,669601448,Nelson,Gutierrez Ramos,TENIENTE,TARDE,Patio 2,Zona Este,ACTIVO,NO,,,,,,
66,127,562446417,Rafael,Herrera Salcedo,1978-06-26,Estafa,CONDENADO,B007,Patio 2,2020-12-24,Miguel Ruiz,243811545,2024-10-31,18:45:00,PERMITIDA,,20,544726404,Camilo,Jimenez Molina,SUBOFICIAL,MANANA,Patio 3,Zona Oeste,ACTIVO,NO,,,,,,
67,68,168965204,Liliana,Ramos Cruz,1984-05-04,Violencia intrafamiliar,SINDICADO,B013,Patio 4,2022-03-08,Olga Alvarez,920772671,2024-02-17,13:00:00,FINALIZADA,,12,644830077,Nelson,Flores Vega,TENIENTE,MANANA,Patio 1,Zona Este,ACTIVO,SI,13,Infraccion disciplinaria,El visitante intentó pasar un objeto no permitido al preso,2024-02-17,13:30:00,PENDIENTE
68,141,1082748549,Viviana,Romero Pineda,1962-11-01,Concierto para delinquir,CONDENADO,E020,Patio 3,2022-04-16,Gloria Ortiz,953514394,2024-09-30,18:00:00,APROBADA,,9,191659287,Andres,Ruiz Sanchez,OFICIAL,NOCHE,Patio 3,Zona Sur,ACTIVO,NO,,,,,,
69,87,654724287,Ivan,Perez Herrera,1992-04-19,Lavado de activos,SINDICADO,E035,Patio 2,2022-09-02,Gloria Cardenas,143223380,2024-01-10,20:15:00,APROBADA,,18,448303473,Ruben,Zapata Munar,DRAGONEANTE,MANANA,Patio 2,Zona Sur,ACTIVO,NO,,,,,,
70,12,803771909,Martha,Chavez Pineda,1980-07-31,Hurto calificado,ACTIVO,B024,Patio 5,2021-06-22,Rafael Munar,1058992851,2023-05-21,19:30:00,FINALIZADA,,2,585337126,Olga,Romero Bedoya,DRAGONEANTE,NOCHE,Patio 5,Zona Este,ACTIVO,NO,,,,,,
71,132,717199615,Felipe,Rios Guerrero,1960-12-25,Fraude procesal,CONDENADO,B031,Patio 1,2020-04-10,Viviana Acosta,1004736933,2023-12-02,17:30:00,APROBADA,,5,779760958,Natalia,Montoya Soto,SARGENTO,TARDE,Patio 5,Zona Central,ACTIVO,NO,,,,,,
72,77,356135680,Jose,Parra Vega,1965-02-17,Estafa,TRASLADADO,C040,Patio 3,2022-01-25,Xiomara Mendoza,609912042,2023-12-11,16:45:00,PENDIENTE,,19,153432064,Wilson,Perez Aguilar,TENIENTE,NOCHE,Patio 4,Zona Oeste,ACTIVO,NO,,,,,,
73,5,507943839,Miguel,Reyes Reyes,1987-01-30,Secuestro,CONDENADO,E027,Patio 4,2020-09-12,Jhon Rios,775663302,2023-12-06,18:00:00,FINALIZADA,,12,644830077,Nelson,Flores Vega,TENIENTE,MANANA,Patio 1,Zona Este,ACTIVO,NO,,,,,,
74,7,856528252,Pedro,Gonzalez Vega,1970-03-22,Fabricacion de explosivos,ACTIVO,A021,Patio 2,2020-07-25,Juan Cano,615877957,2024-04-30,12:15:00,PENDIENTE,,20,544726404,Camilo,Jimenez Molina,SUBOFICIAL,MANANA,Patio 3,Zona Oeste,ACTIVO,NO,,,,,,
75,44,996139578,Claudia,Cano Montoya,1966-08-23,Lavado de activos,ACTIVO,B039,Patio 3,2020-03-22,Fabian Gonzalez,714792641,2024-10-06,19:45:00,APROBADA,,17,669601448,Nelson,Gutierrez Ramos,TENIENTE,TARDE,Patio 2,Zona Este,ACTIVO,NO,,,,,,
76,29,1038972143,Pedro,Alvarez Montoya,1964-05-23,Trafico de estupefacientes,CONDENADO,D019,Patio 1,2020-07-10,Dario Bravo,166874023,2023-01-20,15:30:00,FINALIZADA,,7,1053580472,Edwin,Ramos Cruz,TENIENTE,TARDE,Patio 4,Zona Norte,ACTIVO,SI,14,Introduccion de elementos prohibidos,El visitante intentó pasar un objeto no permitido al preso,2023-01-20,14:45:00,RESUELTO
77,36,356287095,Rodrigo,Chavez Torres,1990-02-16,Concierto para delinquir,ACTIVO,C001,Patio 1,2020-01-20,Beatriz Gutierrez,436889280,2023-08-01,16:30:00,DENEGADA,Preso en aislamiento,17,669601448,Nelson,Gutierrez Ramos,TENIENTE,TARDE,Patio 2,Zona Este,ACTIVO,NO,,,,,,
78,45,1065212976,Diana,Jimenez Mora,1971-03-12,Concierto para delinquir,ACTIVO,E040,Patio 5,2022-04-12,Viviana Parra,306442077,2024-06-29,13:30:00,DENEGADA,Horario no disponible,15,990626742,Edison,Aguilar Rodriguez,CABO,TARDE,Patio 3,Zona Este,ACTIVO,NO,,,,,,
79,64,960514523,Carolina,Vega Salcedo,1985-01-26,Estafa,ACTIVO,E034,Patio 4,2022-10-30,Ferney Jimenez,841139461,2024-07-25,12:15:00,PERMITIDA,,9,191659287,Andres,Ruiz Sanchez,OFICIAL,NOCHE,Patio 3,Zona Sur,ACTIVO,NO,,,,,,
80,126,278632824,Edison,Mendoza Rodriguez,1962-01-23,Porte ilegal de armas,CONDENADO,B036,Patio 3,2022-02-06,Ruben Flores,411871167,2024-05-06,13:30:00,PERMITIDA,,11,905611583,Monica,Bravo Lopez,SARGENTO,NOCHE,Patio 3,Zona Este,ACTIVO,SI,15,Motin,Se reportó intento de fuga durante el traslado post-visita,2024-05-06,14:45:00,RESUELTO
81,11,982403818,Jorge,Castillo Chavez,1972-01-04,Homicidio,ACTIVO,D026,Patio 3,2021-03-11,Dario Parra,329766590,2023-03-22,13:45:00,DENEGADA,Horario no disponible,10,729712082,Yaneth,Montoya Cruz,OFICIAL,MANANA,Patio 4,Zona Este,ACTIVO,NO,,,,,,
